ds,y
2021-06-18,641.4
2021-06-19,934.6
2021-06-20,1423.95
2021-06-21,722.6
2021-06-22,657.85
2021-06-23,576.2
2021-06-24,776.3
2021-06-25,730.45
2021-06-26,924.45
2021-06-27,1611.0
2021-06-28,685.7
2021-06-29,670.3
2021-06-30,650.85
2021-07-01,742.65
2021-07-02,735.95
2021-07-03,1073.5
2021-07-04,1475.15
2021-07-05,891.35
2021-07-06,881.95
2021-07-07,910.4
2021-07-08,874.25
2021-07-09,1057.5
2021-07-10,1430.95
2021-07-11,2071.9
2021-07-12,1380.55
2021-07-13,1264.8
2021-07-14,1884.65
2021-07-15,1507.85
2021-07-16,1337.1
2021-07-17,1815.9
2021-07-18,1816.35
2021-07-19,1338.95
2021-07-20,1344.15
2021-07-21,1316.35
2021-07-22,1315.7
2021-07-23,1521.05
2021-07-24,1690.25
2021-07-25,1917.85
2021-07-26,1477.8
2021-07-27,1306.9
2021-07-28,1334.3
2021-07-29,1306.15
2021-07-30,1403.2
2021-07-31,1776.05
2021-08-01,1869.5
2021-08-02,1398.95
2021-08-03,1644.1
2021-08-04,1346.3
2021-08-05,1484.65
2021-08-06,1307.3
2021-08-07,1844.8
2021-08-08,2276.15
2021-08-09,1803.75
2021-08-10,1544.1
2021-08-11,1785.65
2021-08-12,1818.0
2021-08-13,1518.15
2021-08-14,1984.9
2021-08-15,2590.0
2021-08-16,1649.6
2021-08-17,1351.95
2021-08-18,1569.55
2021-08-19,1473.4
2021-08-20,1300.65
2021-08-21,1809.65
2021-08-22,1963.05
2021-08-23,1335.7
2021-08-24,1333.15
2021-08-25,1182.25
2021-08-26,1420.05
2021-08-27,1162.6
2021-08-28,1411.25
2021-08-29,1735.65
2021-08-30,954.9
2021-08-31,810.65
2021-09-01,726.9
2021-09-02,768.9
2021-09-03,829.6
2021-09-04,1029.45
2021-09-05,1367.4
2021-09-06,708.75
2021-09-07,683.05
2021-09-08,775.9
2021-09-09,735.1
2021-09-10,800.4
2021-09-11,927.65
2021-09-12,1339.15
2021-09-13,702.6
2021-09-14,665.25
2021-09-15,633.3
2021-09-16,577.25
2021-09-17,629.25
2021-09-18,876.25
2021-09-19,1014.2
2021-09-20,699.45
2021-09-21,720.95
2021-09-22,116.0
2021-09-23,585.65
2021-09-24,750.8
2021-09-25,857.3
2021-09-26,1078.25
2021-09-27,509.4
2021-09-28,526.6
2021-09-29,538.9
2021-09-30,555.15
2021-10-01,641.25
2021-10-02,638.1
2021-10-03,925.8
2021-10-04,578.1
2021-10-05,530.6
2021-10-06,562.2
2021-10-07,608.05
2021-10-08,752.7
2021-10-09,932.9
